"","x"
"1","01/01/1979"
"2","01/01/1979"
"3","02/01/1979"
"4","02/01/1979"
"5","03/01/1979"
"6","03/01/1979"
"7","04/01/1979"
"8","04/01/1979"
"9","05/01/1979"
"10","05/01/1979"
"11","06/01/1979"
"12","06/01/1979"
"13","07/01/1979"
"14","08/01/1979"
"15","08/01/1979"
"16","09/01/1979"
"17","09/01/1979"
"18","10/01/1979"
"19","10/01/1979"
"20","11/01/1979"
"21","11/01/1979"
"22","12/01/1979"
"23","12/01/1979"
"24","13/01/1979"
"25","13/01/1979"
"26","14/01/1979"
"27","14/01/1979"
"28","15/01/1979"
"29","15/01/1979"
"30","16/01/1979"
"31","16/01/1979"
"32","17/01/1979"
"33","17/01/1979"
"34","18/01/1979"
"35","18/01/1979"
"36","19/01/1979"
"37","19/01/1979"
"38","20/01/1979"
"39","20/01/1979"
"40","21/01/1979"
"41","21/01/1979"
"42","22/01/1979"
"43","22/01/1979"
"44","23/01/1979"
"45","23/01/1979"
"46","24/01/1979"
"47","25/01/1979"
"48","25/01/1979"
"49","26/01/1979"
"50","26/01/1979"
"51","27/01/1979"
"52","27/01/1979"
"53","28/01/1979"
"54","28/01/1979"
"55","29/01/1979"
"56","29/01/1979"
"57","30/01/1979"
"58","30/01/1979"
"59","31/01/1979"
"60","31/01/1979"
"61","01/02/1979"
"62","01/02/1979"
"63","02/02/1979"
"64","02/02/1979"
"65","03/02/1979"
"66","03/02/1979"
"67","04/02/1979"
"68","04/02/1979"
"69","05/02/1979"
"70","05/02/1979"
"71","06/02/1979"
"72","07/02/1979"
"73","07/02/1979"
"74","08/02/1979"
"75","08/02/1979"
"76","09/02/1979"
"77","09/02/1979"
"78","10/02/1979"
"79","10/02/1979"
"80","11/02/1979"
"81","11/02/1979"
"82","12/02/1979"
"83","12/02/1979"
"84","13/02/1979"
"85","13/02/1979"
"86","14/02/1979"
"87","14/02/1979"
"88","15/02/1979"
"89","15/02/1979"
"90","16/02/1979"
"91","16/02/1979"
"92","17/02/1979"
"93","17/02/1979"
"94","18/02/1979"
"95","18/02/1979"
"96","19/02/1979"
"97","19/02/1979"
"98","20/02/1979"
"99","20/02/1979"
"100","21/02/1979"
"101","21/02/1979"
"102","22/02/1979"
"103","23/02/1979"
"104","23/02/1979"
"105","24/02/1979"
"106","24/02/1979"
"107","25/02/1979"
"108","25/02/1979"
"109","26/02/1979"
"110","26/02/1979"
"111","27/02/1979"
"112","27/02/1979"
"113","28/02/1979"
"114","28/02/1979"
"115","01/03/1979"
"116","01/03/1979"
"117","02/03/1979"
"118","02/03/1979"
"119","03/03/1979"
"120","03/03/1979"
"121","04/03/1979"
"122","04/03/1979"
"123","05/03/1979"
"124","05/03/1979"
"125","06/03/1979"
"126","06/03/1979"
"127","07/03/1979"
"128","08/03/1979"
"129","08/03/1979"
"130","09/03/1979"
"131","09/03/1979"
"132","10/03/1979"
"133","10/03/1979"
"134","11/03/1979"
"135","11/03/1979"
"136","12/03/1979"
"137","12/03/1979"
"138","13/03/1979"
"139","13/03/1979"
"140","14/03/1979"
"141","14/03/1979"
"142","15/03/1979"
"143","15/03/1979"
"144","16/03/1979"
"145","16/03/1979"
"146","17/03/1979"
"147","17/03/1979"
"148","18/03/1979"
"149","18/03/1979"
"150","19/03/1979"
"151","19/03/1979"
"152","20/03/1979"
"153","20/03/1979"
"154","21/03/1979"
"155","21/03/1979"
"156","22/03/1979"
"157","22/03/1979"
"158","23/03/1979"
"159","24/03/1979"
"160","24/03/1979"
"161","25/03/1979"
"162","25/03/1979"
"163","26/03/1979"
"164","26/03/1979"
"165","27/03/1979"
"166","27/03/1979"
"167","28/03/1979"
"168","28/03/1979"
"169","29/03/1979"
"170","29/03/1979"
"171","30/03/1979"
"172","30/03/1979"
"173","31/03/1979"
"174","31/03/1979"
"471","01/09/1979"
"472","01/09/1979"
"473","02/09/1979"
"474","03/09/1979"
"475","03/09/1979"
"476","04/09/1979"
"477","04/09/1979"
"478","05/09/1979"
"479","05/09/1979"
"480","06/09/1979"
"481","06/09/1979"
"482","07/09/1979"
"483","07/09/1979"
"484","08/09/1979"
"485","08/09/1979"
"486","09/09/1979"
"487","09/09/1979"
"488","10/09/1979"
"489","10/09/1979"
"490","11/09/1979"
"491","11/09/1979"
"492","12/09/1979"
"493","12/09/1979"
"494","13/09/1979"
"495","13/09/1979"
"496","14/09/1979"
"497","14/09/1979"
"498","15/09/1979"
"499","16/09/1979"
"500","16/09/1979"
"501","17/09/1979"
"502","17/09/1979"
"503","18/09/1979"
"504","18/09/1979"
"505","19/09/1979"
"506","19/09/1979"
"507","20/09/1979"
"508","20/09/1979"
"509","21/09/1979"
"510","21/09/1979"
"511","22/09/1979"
"512","22/09/1979"
"513","23/09/1979"
"514","23/09/1979"
"515","24/09/1979"
"516","24/09/1979"
"517","25/09/1979"
"518","25/09/1979"
"519","26/09/1979"
"520","26/09/1979"
"521","27/09/1979"
"522","27/09/1979"
"523","28/09/1979"
"524","28/09/1979"
"525","29/09/1979"
"526","29/09/1979"
"527","30/09/1979"
"528","30/09/1979"
"529","01/10/1979"
"530","02/10/1979"
"531","02/10/1979"
"532","03/10/1979"
"533","03/10/1979"
"534","04/10/1979"
"535","04/10/1979"
"536","05/10/1979"
"537","05/10/1979"
"538","06/10/1979"
"539","06/10/1979"
"540","07/10/1979"
"541","07/10/1979"
"542","08/10/1979"
"543","08/10/1979"
"544","09/10/1979"
"545","09/10/1979"
"546","10/10/1979"
"547","10/10/1979"
"548","11/10/1979"
"549","11/10/1979"
"550","12/10/1979"
"551","12/10/1979"
"552","13/10/1979"
"553","13/10/1979"
"554","14/10/1979"
"555","15/10/1979"
"556","15/10/1979"
"557","16/10/1979"
"558","16/10/1979"
"559","17/10/1979"
"560","17/10/1979"
"561","18/10/1979"
"562","18/10/1979"
"563","19/10/1979"
"564","19/10/1979"
"565","20/10/1979"
"566","20/10/1979"
"567","21/10/1979"
"568","21/10/1979"
"569","22/10/1979"
"570","22/10/1979"
"571","23/10/1979"
"572","23/10/1979"
"573","24/10/1979"
"574","24/10/1979"
"575","25/10/1979"
"576","25/10/1979"
"577","26/10/1979"
"578","26/10/1979"
"579","27/10/1979"
"580","27/10/1979"
"581","28/10/1979"
"582","28/10/1979"
"583","29/10/1979"
"584","29/10/1979"
"585","30/10/1979"
"586","31/10/1979"
"587","31/10/1979"
"588","01/11/1979"
"589","01/11/1979"
"590","02/11/1979"
"591","02/11/1979"
"592","03/11/1979"
"593","03/11/1979"
"594","04/11/1979"
"595","04/11/1979"
"596","05/11/1979"
"597","05/11/1979"
"598","06/11/1979"
"599","06/11/1979"
"600","07/11/1979"
"601","07/11/1979"
"602","08/11/1979"
"603","08/11/1979"
"604","09/11/1979"
"605","09/11/1979"
"606","10/11/1979"
"607","10/11/1979"
"608","11/11/1979"
"609","11/11/1979"
"610","12/11/1979"
"611","12/11/1979"
"612","13/11/1979"
"613","13/11/1979"
"614","14/11/1979"
"615","15/11/1979"
"616","15/11/1979"
"617","16/11/1979"
"618","16/11/1979"
"619","17/11/1979"
"620","17/11/1979"
"621","18/11/1979"
"622","18/11/1979"
"623","19/11/1979"
"624","19/11/1979"
"625","20/11/1979"
"626","20/11/1979"
"627","21/11/1979"
"628","21/11/1979"
"629","22/11/1979"
"630","22/11/1979"
"631","23/11/1979"
"632","23/11/1979"
"633","24/11/1979"
"634","24/11/1979"
"635","25/11/1979"
"636","25/11/1979"
"637","26/11/1979"
"638","26/11/1979"
"639","27/11/1979"
"640","27/11/1979"
"641","28/11/1979"
"642","28/11/1979"
"643","29/11/1979"
"644","30/11/1979"
"645","30/11/1979"
"646","01/12/1979"
"647","01/12/1979"
"648","02/12/1979"
"649","02/12/1979"
"650","03/12/1979"
"651","03/12/1979"
"652","04/12/1979"
"653","04/12/1979"
"654","05/12/1979"
"655","05/12/1979"
"656","06/12/1979"
"657","06/12/1979"
"658","07/12/1979"
"659","07/12/1979"
"660","08/12/1979"
"661","08/12/1979"
"662","09/12/1979"
"663","09/12/1979"
"664","10/12/1979"
"665","10/12/1979"
"666","11/12/1979"
"667","11/12/1979"
"668","12/12/1979"
"669","12/12/1979"
"670","13/12/1979"
"671","13/12/1979"
"672","14/12/1979"
"673","15/12/1979"
"674","15/12/1979"
"675","16/12/1979"
"676","16/12/1979"
"677","17/12/1979"
"678","17/12/1979"
"679","18/12/1979"
"680","18/12/1979"
"681","19/12/1979"
"682","19/12/1979"
"683","20/12/1979"
"684","20/12/1979"
"685","21/12/1979"
"686","21/12/1979"
"687","22/12/1979"
"688","22/12/1979"
"689","23/12/1979"
"690","23/12/1979"
"691","24/12/1979"
"692","24/12/1979"
"693","25/12/1979"
"694","25/12/1979"
"695","26/12/1979"
"696","26/12/1979"
"697","27/12/1979"
"698","27/12/1979"
"699","28/12/1979"
"700","29/12/1979"
"701","29/12/1979"
"702","30/12/1979"
"703","30/12/1979"
"704","31/12/1979"
"705","31/12/1979"
"706","01/01/1980"
"707","01/01/1980"
"708","02/01/1980"
"709","02/01/1980"
"710","03/01/1980"
"711","03/01/1980"
"712","04/01/1980"
"713","04/01/1980"
"714","05/01/1980"
"715","05/01/1980"
"716","06/01/1980"
"717","06/01/1980"
"718","07/01/1980"
"719","07/01/1980"
"720","08/01/1980"
"721","08/01/1980"
"722","09/01/1980"
"723","09/01/1980"
"724","10/01/1980"
"725","10/01/1980"
"726","11/01/1980"
"727","11/01/1980"
"728","12/01/1980"
"729","12/01/1980"
"730","13/01/1980"
"731","14/01/1980"
"732","14/01/1980"
"733","15/01/1980"
"734","15/01/1980"
"735","16/01/1980"
"736","16/01/1980"
"737","17/01/1980"
"738","17/01/1980"
"739","18/01/1980"
"740","18/01/1980"
"741","19/01/1980"
"742","19/01/1980"
"743","20/01/1980"
"744","20/01/1980"
"745","21/01/1980"
"746","21/01/1980"
"747","22/01/1980"
"748","22/01/1980"
"749","23/01/1980"
"750","23/01/1980"
"751","24/01/1980"
"752","24/01/1980"
"753","25/01/1980"
"754","25/01/1980"
"755","26/01/1980"
"756","27/01/1980"
"757","27/01/1980"
"758","28/01/1980"
"759","28/01/1980"
"760","29/01/1980"
"761","29/01/1980"
"762","30/01/1980"
"763","30/01/1980"
"764","31/01/1980"
"765","31/01/1980"
"766","01/02/1980"
"767","01/02/1980"
"768","02/02/1980"
"769","02/02/1980"
"770","03/02/1980"
"771","03/02/1980"
"772","04/02/1980"
"773","04/02/1980"
"774","05/02/1980"
"775","05/02/1980"
"776","06/02/1980"
"777","06/02/1980"
"778","07/02/1980"
"779","07/02/1980"
"780","08/02/1980"
"781","08/02/1980"
"782","09/02/1980"
"783","09/02/1980"
"784","10/02/1980"
"785","10/02/1980"
"786","11/02/1980"
"787","11/02/1980"
"788","12/02/1980"
"789","13/02/1980"
"790","13/02/1980"
"791","14/02/1980"
"792","14/02/1980"
"793","15/02/1980"
"794","15/02/1980"
"795","16/02/1980"
"796","16/02/1980"
"797","17/02/1980"
"798","17/02/1980"
"799","18/02/1980"
"800","18/02/1980"
"801","19/02/1980"
"802","19/02/1980"
"803","20/02/1980"
"804","20/02/1980"
"805","21/02/1980"
"806","21/02/1980"
"807","22/02/1980"
"808","22/02/1980"
"809","23/02/1980"
"810","23/02/1980"
"811","24/02/1980"
"812","24/02/1980"
"813","25/02/1980"
"814","26/02/1980"
"815","26/02/1980"
"816","27/02/1980"
"817","27/02/1980"
"818","28/02/1980"
"819","28/02/1980"
"820","29/02/1980"
"821","29/02/1980"
"822","01/03/1980"
"823","01/03/1980"
"824","02/03/1980"
"825","02/03/1980"
"826","03/03/1980"
"827","03/03/1980"
"828","04/03/1980"
"829","04/03/1980"
"830","05/03/1980"
"831","05/03/1980"
"832","06/03/1980"
"833","06/03/1980"
"834","07/03/1980"
"835","07/03/1980"
"836","08/03/1980"
"837","08/03/1980"
"838","09/03/1980"
"839","09/03/1980"
"840","10/03/1980"
"841","10/03/1980"
"842","11/03/1980"
"843","11/03/1980"
"844","12/03/1980"
"845","13/03/1980"
"846","13/03/1980"
"847","14/03/1980"
"848","14/03/1980"
"849","15/03/1980"
"850","15/03/1980"
"851","16/03/1980"
