"","x"
"1",-4.02301157274174
"2",-4.02671064210155
"3",-4.02113817234814
"4",-4.01525495423675
"5",-4.00990256991156
"6",-4.00425028148776
"7",-3.99880252442111
"8",-3.99321523958972
"9",-3.97807933824104
"10",-3.97242092268777
"11",-3.97233701156612
"12",-3.96674884787665
"13",-3.95475025771957
"14",-3.9424342018309
"15",-3.93018255856463
"16",-3.91811794142847
"17",-3.9056611909992
"18",-3.89346866043695
"19",-3.88781456460676
"20",-3.87564916131256
"21",-3.86362038805064
"22",-3.8517882041253
"23",-3.83956671406193
"24",-3.82792075003682
"25",-3.81572366136091
"26",-3.8038913742733
"27",-3.79248769009837
"28",-3.78665802475427
"29",-3.77498388612853
"30",-3.7631176727024
"31",-3.74146861801904
"32",-3.72993706855323
"33",-3.71832848375138
"34",-3.70690513624701
"35",-3.69539719874573
"36",-3.68400700766391
"37",-3.67825838006247
