"","x"
"comp 1",26.1758180618563
"comp 2",9.56289281398336
"comp 3",0.592052612162137
"comp 4",0.441980599932185
"comp 5",0.140032037485604
"comp 6",0.0287733964871297
"comp 7",0.0121326073611994
"comp 8",0.0105842451546514
"comp 9",0.00805303476299477
"comp 10",0.0056544696158228
"comp 11",0.00399965828138359
"comp 12",0.00280000718763481
"comp 13",0.00216869510844888
"comp 14",0.00163725806916592
"comp 15",0.00130548737098966
"comp 16",0.00117087613840555
"comp 17",0.000962776622986181
"comp 18",0.000903908922865905
"comp 19",0.00078507251241302
"comp 20",0.000738719329523279
"comp 21",0.000700155596195841
"comp 22",0.000658698717708114
"comp 23",0.000537736181838824
"comp 24",0.000471009248322335
"comp 25",0.000452514606496639
"comp 26",0.000394829204640378
"comp 27",0.000322900615303616
"comp 28",0.000293970124038371
"comp 29",0.000266050375141182
"comp 30",0.000255611558305541
"comp 31",0.000236770197855762
"comp 32",0.000208361906525113
"comp 33",0.00018658586816916
"comp 34",0.000169254421541525
"comp 35",0.000149047727363529
"comp 36",0.000137225653583009
"comp 37",0.00011293965175289
