"","x"
"comp 1",19.4701773886936
"comp 2",8.14013456524014
"comp 3",2.86027856874901
"comp 4",1.7674383258157
"comp 5",1.32352558596297
"comp 6",1.15091084500742
"comp 7",0.685615116855139
"comp 8",0.423864312161213
"comp 9",0.278587968444061
"comp 10",0.15786756490124
"comp 11",0.113565547000234
"comp 12",0.0807108667816755
"comp 13",0.0739974071452381
"comp 14",0.0558716028161917
"comp 15",0.0515493838490406
"comp 16",0.0385139537654266
"comp 17",0.0380366857203889
"comp 18",0.0311526157946261
"comp 19",0.0275940512638553
"comp 20",0.0250209178504345
"comp 21",0.0224677666427139
"comp 22",0.0215847617611081
"comp 23",0.0180090680704322
"comp 24",0.0171157617886389
"comp 25",0.015985568948554
"comp 26",0.0140465051676769
"comp 27",0.0135896122063551
"comp 28",0.0123277170200476
"comp 29",0.0108642644274576
"comp 30",0.00985365556459331
"comp 31",0.009027147070607
"comp 32",0.00876605741202869
"comp 33",0.00849569731382157
"comp 34",0.00677055228651201
"comp 35",0.00618673191531829
"comp 36",0.00564457826911342
"comp 37",0.00485128031742482
