"","Inds_Exts",""
"1",7,1
"2",29,2
"3",55,3
"4",86,4
"5",123,5
"6",126,6
"7",151,7
"8",157,8
"9",180,9
"10",193,10
"11",267,11
"12",285,12
"13",313,13
"14",317,14
"15",326,15
"16",330,16
"17",357,17
"18",399,18
"19",439,19
"20",497,20
"21",499,21
"22",532,22
"23",534,23
"24",540,24
"25",571,25
"26",584,26
"27",607,27
"28",615,28
"29",634,29
"30",661,30
"31",662,31
"32",673,32
"33",676,33
"34",686,34
"35",691,35
"36",692,36
"37",699,37
"38",701,38
"39",708,39
"40",717,40
"41",796,41
"42",834,42
"43",875,43
"44",878,44
"45",900,45
"46",921,46
"47",924,47
"48",938,48
"49",951,49
"50",954,50
"51",957,51
"52",972,52
"53",986,53
"54",988,54
"55",1011,55
"56",1013,56
"57",1015,57
"58",1061,58
"59",1069,59
"60",1079,60
"61",1084,61
"62",1131,62
"63",1149,63
"64",1176,64
"65",1181,65
"66",1199,66
"67",1221,67
"68",1232,68
"69",1249,69
"70",1251,70
"71",1256,71
"72",1279,72
"73",1350,73
"74",1370,74
"75",1399,75
"76",1403,76
"77",1404,77
"78",1407,78
"79",1458,79
"80",1463,80
"81",1493,81
"82",1495,82
"83",1497,83
"84",1500,84
"85",1519,85
"86",1524,86
"87",1529,87
"88",1531,88
"89",1533,89
"90",1541,90
"91",1617,91
"92",1637,92
"93",1642,93
"94",1644,94
"95",1647,95
"96",1717,96
"97",1747,97
"98",1750,98
"99",1770,99
"100",1835,100
"101",1882,101
"102",1891,102
"103",1896,103
"104",1899,104
"105",1906,105
"106",1921,106
"107",1978,107
"108",1981,108
"109",1993,109
"110",1995,110
"111",2041,111
"112",2044,112
"113",2051,113
"114",2058,114
"115",2073,115
"116",2083,116
"117",2109,117
"118",2143,118
"119",2148,119
"120",2173,120
"121",2185,121
"122",2199,122
"123",2200,123
"124",2202,124
"125",2204,125
"126",2206,126
"127",2214,127
"128",2218,128
"129",2220,129
"130",2227,130
"131",2250,131
"132",2328,132
"133",2332,133
"134",2348,134
"135",2360,135
"136",2420,136
"137",2434,137
"138",2489,138
"139",2497,139
"140",2544,140
"141",2564,141
"142",2583,142
"143",2590,143
"144",2594,144
"145",2599,145
"146",2601,146
"147",2638,147
"148",2660,148
"149",2675,149
"150",2691,150
"151",2731,151
"152",2736,152
"153",2826,153
"154",2858,154
"155",2862,155
"156",2866,156
"157",2955,157
"158",2967,158
"159",2985,159
"160",3008,160
"161",3009,161
"162",3014,162
"163",3022,163
"164",3023,164
"165",3031,165
"166",3059,166
"167",3090,167
"168",3160,168
"169",3162,169
"170",3168,170
"171",3181,171
"172",3194,172
"173",3236,173
"174",3238,174
"175",3256,175
"176",3262,176
"177",3275,177
"178",3280,178
"179",3282,179
"180",3294,180
"181",3303,181
"182",3319,182
"183",3380,183
"184",3395,184
"185",3415,185
"186",3423,186
"187",3425,187
"188",3504,188
"189",3513,189
"190",3566,190
"191",3648,191
"192",3654,192
"193",3672,193
"194",3691,194
"195",3720,195
"196",3722,196
"197",3731,197
"198",3745,198
"199",3769,199
"200",3806,200
"201",3810,201
"202",3815,202
"203",3827,203
"204",3839,204
"205",3855,205
"206",3862,206
"207",3866,207
"208",3869,208
"209",3945,209
"210",3948,210
"211",3950,211
"212",3974,212
"213",3987,213
"214",4009,214
"215",4013,215
"216",4026,216
"217",4106,217
"218",4109,218
"219",4197,219
"220",4200,220
"221",4201,221
"222",4206,222
"223",4213,223
"224",4215,224
"225",4239,225
"226",4255,226
"227",4267,227
"228",4286,228
"229",4289,229
"230",4334,230
"231",4336,231
"232",4360,232
"233",4432,233
"234",4492,234
"235",4494,235
"236",4596,236
"237",4611,237
"238",4624,238
"239",4629,239
"240",4648,240
"241",4730,241
"242",4765,242
"243",4768,243
"244",4785,244
"245",4787,245
"246",4790,246
"247",4792,247
"248",4804,248
"249",4863,249
"250",4866,250
"251",4910,251
"252",4936,252
"253",5037,253
"254",5043,254
"255",5061,255
"256",5062,256
"257",5065,257
"258",5077,258
"259",5093,259
