"lien","AUC","variable","methode"
"logit","0.5","Hs","donnees_brutes"
"probit","0.5","Hs","donnees_brutes"
"cauchit","0.55","Hs","donnees_brutes"
"logit","0.47","angle Hs","donnees_brutes"
"probit","0.47","angle Hs","donnees_brutes"
"cauchit","0.53","angle Hs","donnees_brutes"
"logit","0.54","norme L2 de Hs","donnees_brutes"
"probit","0.54","norme L2 de Hs","donnees_brutes"
"cloglog","0.54","norme L2 de Hs","donnees_brutes"
"log","0.54","norme L2 de Hs","donnees_brutes"
"cauchit","0.54","norme L2 de Hs","donnees_brutes"
