"lien","AUC","variable","methode"
"logit","0.65","Surcote","residus"
"probit","0.66","Surcote","residus"
"cauchit","0.63","Surcote","residus"
"logit","0.56","angle Surcote","residus"
"probit","0.56","angle Surcote","residus"
"cauchit","0.58","angle Surcote","residus"
"logit","0.49","norme L2 de Surcote","residus"
"probit","0.49","norme L2 de Surcote","residus"
"cloglog","0.49","norme L2 de Surcote","residus"
"log","0.49","norme L2 de Surcote","residus"
"cauchit","0.49","norme L2 de Surcote","residus"
