"","x"
"1","01/01/1979 (morning)"
"2","02/01/1979 (evening)"
"3","04/01/1979 (morning)"
"4","05/01/1979 (evening)"
"5","07/01/1979 (morning)"
"6","09/01/1979 (evening)"
"7","10/01/1979 (morning)"
"8","12/01/1979 (evening)"
"9","13/01/1979 (morning)"
"10","15/01/1979 (evening)"
"11","16/01/1979 (morning)"
"12","18/01/1979 (evening)"
"13","19/01/1979 (morning)"
"14","21/01/1979 (evening)"
"15","22/01/1979 (morning)"
"16","24/01/1979 (evening)"
"17","26/01/1979 (morning)"
"18","27/01/1979 (evening)"
"19","29/01/1979 (morning)"
"20","30/01/1979 (evening)"
"21","01/02/1979 (morning)"
"22","02/02/1979 (evening)"
"23","04/02/1979 (morning)"
"24","05/02/1979 (evening)"
"25","07/02/1979 (morning)"
"26","09/02/1979 (evening)"
"27","10/02/1979 (morning)"
"28","12/02/1979 (evening)"
"29","13/02/1979 (morning)"
"30","15/02/1979 (evening)"
"31","16/02/1979 (morning)"
"32","18/02/1979 (evening)"
"33","19/02/1979 (morning)"
"34","21/02/1979 (evening)"
"35","23/02/1979 (morning)"
"36","24/02/1979 (evening)"
"37","26/02/1979 (morning)"
"38","27/02/1979 (evening)"
"39","01/03/1979 (morning)"
"40","02/03/1979 (evening)"
"41","04/03/1979 (morning)"
"42","05/03/1979 (evening)"
"43","07/03/1979 (morning)"
"44","09/03/1979 (evening)"
"45","10/03/1979 (morning)"
"46","12/03/1979 (evening)"
"47","13/03/1979 (morning)"
"48","15/03/1979 (evening)"
"49","16/03/1979 (morning)"
"50","18/03/1979 (evening)"
"51","19/03/1979 (morning)"
"52","21/03/1979 (evening)"
"53","22/03/1979 (morning)"
"54","24/03/1979 (evening)"
"55","26/03/1979 (morning)"
"56","27/03/1979 (evening)"
"57","29/03/1979 (morning)"
"58","30/03/1979 (evening)"
"59","01/09/1979 (morning)"
"60","03/09/1979 (evening)"
"61","04/09/1979 (morning)"
"62","06/09/1979 (evening)"
"63","07/09/1979 (morning)"
"64","09/09/1979 (evening)"
"65","10/09/1979 (morning)"
"66","12/09/1979 (evening)"
"67","13/09/1979 (morning)"
"68","15/09/1979 (evening)"
"69","17/09/1979 (morning)"
"70","18/09/1979 (evening)"
"71","20/09/1979 (morning)"
"72","21/09/1979 (evening)"
"73","23/09/1979 (morning)"
"74","24/09/1979 (evening)"
"75","26/09/1979 (morning)"
"76","27/09/1979 (evening)"
"77","29/09/1979 (morning)"
"78","30/09/1979 (evening)"
"79","02/10/1979 (morning)"
"80","04/10/1979 (evening)"
"81","05/10/1979 (morning)"
"82","07/10/1979 (evening)"
"83","08/10/1979 (morning)"
"84","10/10/1979 (evening)"
"85","11/10/1979 (morning)"
"86","13/10/1979 (evening)"
"87","15/10/1979 (morning)"
"88","16/10/1979 (evening)"
"89","18/10/1979 (morning)"
"90","19/10/1979 (evening)"
"91","21/10/1979 (morning)"
"92","22/10/1979 (evening)"
"93","24/10/1979 (morning)"
"94","25/10/1979 (evening)"
"95","27/10/1979 (morning)"
"96","28/10/1979 (evening)"
"97","30/10/1979 (morning)"
"98","01/11/1979 (evening)"
"99","02/11/1979 (morning)"
"100","04/11/1979 (evening)"
"101","05/11/1979 (morning)"
"102","07/11/1979 (evening)"
"103","08/11/1979 (morning)"
"104","10/11/1979 (evening)"
"105","11/11/1979 (morning)"
"106","13/11/1979 (evening)"
"107","15/11/1979 (morning)"
"108","16/11/1979 (evening)"
"109","18/11/1979 (morning)"
"110","19/11/1979 (evening)"
"111","21/11/1979 (morning)"
"112","22/11/1979 (evening)"
"113","24/11/1979 (morning)"
"114","25/11/1979 (evening)"
"115","27/11/1979 (morning)"
"116","28/11/1979 (evening)"
"117","30/11/1979 (morning)"
"118","02/12/1979 (evening)"
"119","03/12/1979 (morning)"
"120","05/12/1979 (evening)"
"121","06/12/1979 (morning)"
"122","08/12/1979 (evening)"
"123","09/12/1979 (morning)"
"124","11/12/1979 (evening)"
"125","12/12/1979 (morning)"
"126","14/12/1979 (evening)"
"127","16/12/1979 (morning)"
"128","17/12/1979 (evening)"
"129","19/12/1979 (morning)"
"130","20/12/1979 (evening)"
"131","22/12/1979 (morning)"
