"","x"
"comp 1",19.4701773886935
"comp 2",8.14013456524016
"comp 3",2.86027856874909
"comp 4",1.76743832581574
"comp 5",1.3235255859629
"comp 6",1.15091084500739
"comp 7",0.685615116855137
"comp 8",0.423864312161205
"comp 9",0.278587968444061
"comp 10",0.157867564901253
"comp 11",0.113565547000248
"comp 12",0.0807108667816708
"comp 13",0.0739974071452254
"comp 14",0.0558716028161955
"comp 15",0.0515493838490514
"comp 16",0.038513953765439
"comp 17",0.0380366857203887
"comp 18",0.031152615794621
"comp 19",0.0275940512638559
"comp 20",0.0250209178504316
"comp 21",0.0224677666427051
"comp 22",0.0215847617611102
"comp 23",0.0180090680704319
"comp 24",0.0171157617886365
"comp 25",0.0159855689485548
"comp 26",0.0140465051676751
"comp 27",0.01358961220636
"comp 28",0.012327717020046
"comp 29",0.0108642644274569
"comp 30",0.00985365556459664
"comp 31",0.00902714707060848
"comp 32",0.00876605741202838
"comp 33",0.00849569731382224
"comp 34",0.00677055228651151
"comp 35",0.00618673191531907
"comp 36",0.00564457826911369
"comp 37",0.0048512803174263
