"","x"
"comp 1",18.7381132300133
"comp 2",10.1562519585045
"comp 3",3.23752111862011
"comp 4",1.81877258091129
"comp 5",1.19055297583581
"comp 6",0.704852365285878
"comp 7",0.422162582137135
"comp 8",0.201478437857386
"comp 9",0.142051353764648
"comp 10",0.114791794114721
"comp 11",0.0686059232758122
"comp 12",0.0456515590827499
"comp 13",0.0298389265026072
"comp 14",0.0244202919239289
"comp 15",0.021422479973167
"comp 16",0.0162239783819977
"comp 17",0.0104708917655149
"comp 18",0.00927963350659671
"comp 19",0.00799218912862062
"comp 20",0.00626583076519242
"comp 21",0.00465556344446313
"comp 22",0.00461974448491182
"comp 23",0.00342497378831225
"comp 24",0.00322224021627657
"comp 25",0.00292412088488471
"comp 26",0.00230600966903293
"comp 27",0.00212909182534519
"comp 28",0.00170810068095003
"comp 29",0.00140589427638921
"comp 30",0.00127749521084982
"comp 31",0.00122185740486622
"comp 32",0.00106475727487143
"comp 33",0.000950317818693683
"comp 34",0.000655309108665378
"comp 35",0.000620693811800541
"comp 36",0.000612655655092269
"comp 37",0.000481073093637027
