"","FamilyName","LogLik","NumPar","AIC","BIC"
"2","t","22.8795069576384","2",-41.7590139152769,"-34.6453577918778"
"35","Tawn270","22.2914321778076","2",-40.5828643556152,"-33.4692082322162"
"31","BB8_270","11.1534107211013","2",-18.3068214422025,"-11.1931653188034"
"38","Tawn2_90","10.3253123029622","2",-16.6506246059244,"-9.5369684825253"
"27","J270","9.6899595036337","2",-15.3799190072674,"-13.8230909455679"
"29","BB6_270","9.68340992000221","2",-15.3668198400044,"-8.25316371660534"
"30","BB7_270","9.67297023590034","2",-15.3459404718007,"-8.23228434840161"
"26","G270","8.05644646272689","2",-12.1128929254538,"-10.5560648637542"
"28","BB1_270","8.0323884730692","2",-12.0647769461384,"-4.95112082273933"
"13","SJ","7.21334964441809","2",-10.4266992888362,"-8.86987122713664"
"15","SBB6","7.16275647069699","2",-10.325512941394,"-3.2118568179949"
"16","SBB7","7.14477779072035","2",-10.2895555814407,"-3.17589945804162"
"18","C90","6.83935863539779","2",-9.67871727079558,"-8.12188920909604"
"23","BB7_90","6.82660481777581","2",-9.65320963555162,"-2.53955351215255"
"21","BB1_90","6.82602701567088","2",-9.65205403134176,"-2.53839790794269"
"5","F","5.43035099089578","2",-6.86070198179156,"-5.30387392009202"
"24","BB8_90","4.89916095015578","2",-5.79832190031156,"1.31533422308752"
"3","C","3.44101620445202","2",-2.88203240890404,"-1.3252043472045"
"9","BB7","3.37517417206662","2",-2.75034834413325,"4.36330777926583"
"7","BB1","3.34048054303009","2",-2.68096108606017,"4.4326950373389"
"12","SG","2.81311979417063","2",-1.62623958834127,"-0.0694115266417326"
"14","SBB1","2.74233054107648","2",-1.48466108215295,"5.62899504124612"
"19","G90","1.84263349105755","2",0.31473301788489,"1.87156107958443"
"22","BB6_90","1.82705488992416","2",0.345890220151682,"7.45954634355076"
"37","Tawn2_180","1.72132886421305","2",0.557342271573909,"7.67099839497298"
"1","N","1.58770078591134","2",0.82459842817733,"2.38142648987687"
"39","Tawn2_270","1.13381157948163","2",1.73237684103675,"8.84603296443582"
"33","Tawn180","0.447973820259793","2",3.10405235948041,"10.2177084828795"
"20","J90","0.248152892206602","2",3.5036942155868,"5.06052227728633"
"25","C270","0.211768909077814","2",3.57646218184437,"5.13329024354391"
"10","BB8","1.14529777098539e-05","2",3.99997709404458,"11.1136332174437"
"17","SBB8","1.11114119073124e-05","2",3.99997777717619,"11.1136339005753"
"32","Tawn","-4.97944829854806e-05","2",4.00009958896597,"11.113755712365"
"36","Tawn2","-0.00010872064770043","2",4.0002174412954,"11.1138735646945"
"11","SC","-0.00959410926007186","2",4.01918821852014,"5.57601628021968"
"6","J","-0.0103192333205746","2",4.02063846664115,"5.57746652834069"
"4","G","-0.0109822596314902","2",4.02196451926298,"5.57879258096252"
"34","Tawn90","-0.0170851342685506","2",4.0341702685371,"11.1478263919362"
"8","BB6","-0.133615403053424","2",4.26723080610685,"11.3808869295059"
