"","Inds_Exts",""
"1",3,1
"2",7,2
"3",12,3
"4",17,4
"5",21,5
"6",27,6
"7",29,7
"8",56,8
"9",86,9
"10",157,10
"11",180,11
"12",187,12
"13",219,13
"14",225,14
"15",267,15
"16",326,16
"17",348,17
"18",352,18
"19",399,19
"20",404,20
"21",408,21
"22",409,22
"23",410,23
"24",496,24
"25",512,25
"26",513,26
"27",538,27
"28",540,28
"29",571,29
"30",673,30
"31",674,31
"32",676,32
"33",738,33
"34",764,34
"35",773,35
"36",785,36
"37",801,37
"38",832,38
"39",834,39
"40",837,40
"41",872,41
"42",875,42
"43",921,43
"44",953,44
"45",958,45
"46",972,46
"47",976,47
"48",986,48
"49",988,49
"50",1011,50
"51",1063,51
"52",1079,52
"53",1100,53
"54",1111,54
"55",1120,55
"56",1121,56
"57",1181,57
"58",1199,58
"59",1206,59
"60",1230,60
"61",1246,61
"62",1249,62
"63",1251,63
"64",1279,64
"65",1288,65
"66",1320,66
"67",1348,67
"68",1403,68
"69",1404,69
"70",1415,70
"71",1468,71
"72",1493,72
"73",1495,73
"74",1532,74
"75",1600,75
"76",1617,76
"77",1626,77
"78",1671,78
"79",1683,79
"80",1684,80
"81",1717,81
"82",1723,82
"83",1725,83
"84",1746,84
"85",1783,85
"86",1831,86
"87",1833,87
"88",1835,88
"89",1836,89
"90",1896,90
"91",1897,91
"92",1899,92
"93",1981,93
"94",1993,94
"95",1999,95
"96",2041,96
"97",2053,97
"98",2055,98
"99",2061,99
"100",2073,100
"101",2118,101
"102",2150,102
"103",2199,103
"104",2202,104
"105",2250,105
"106",2291,106
"107",2292,107
"108",2301,108
"109",2318,109
"110",2327,110
"111",2328,111
"112",2337,112
"113",2356,113
"114",2360,114
"115",2371,115
"116",2410,116
"117",2429,117
"118",2434,118
"119",2438,119
"120",2561,120
"121",2570,121
"122",2589,122
"123",2599,123
"124",2606,124
"125",2675,125
"126",2727,126
"127",2774,127
"128",2788,128
"129",2804,129
"130",2941,130
"131",2955,131
"132",2956,132
"133",2968,133
"134",2972,134
"135",2976,135
"136",3009,136
"137",3011,137
"138",3014,138
"139",3022,139
"140",3045,140
"141",3181,141
"142",3235,142
"143",3236,143
"144",3250,144
"145",3251,145
"146",3255,146
"147",3278,147
"148",3282,148
"149",3294,149
"150",3303,150
"151",3313,151
"152",3377,152
"153",3378,153
"154",3395,154
"155",3415,155
"156",3434,156
"157",3508,157
"158",3513,158
"159",3668,159
"160",3672,160
"161",3721,161
"162",3731,162
"163",3780,163
"164",3803,164
"165",3804,165
"166",3852,166
"167",3858,167
"168",3937,168
"169",3966,169
"170",3971,170
"171",3973,171
"172",3974,172
"173",3986,173
"174",4009,174
"175",4022,175
"176",4026,176
"177",4080,177
"178",4081,178
"179",4084,179
"180",4090,180
"181",4109,181
"182",4111,182
"183",4117,183
"184",4118,184
"185",4135,185
"186",4185,186
"187",4210,187
"188",4215,188
"189",4225,189
"190",4230,190
"191",4239,191
"192",4254,192
"193",4262,193
"194",4265,194
"195",4269,195
"196",4285,196
"197",4288,197
"198",4309,198
"199",4327,199
"200",4328,200
"201",4334,201
"202",4337,202
"203",4339,203
"204",4341,204
"205",4359,205
"206",4360,206
"207",4365,207
"208",4371,208
"209",4374,209
"210",4396,210
"211",4397,211
"212",4413,212
"213",4460,213
"214",4466,214
"215",4492,215
"216",4494,216
"217",4571,217
"218",4586,218
"219",4623,219
"220",4633,220
"221",4646,221
"222",4655,222
"223",4661,223
"224",4683,224
"225",4726,225
"226",4763,226
"227",4765,227
"228",4768,228
"229",4772,229
"230",4774,230
"231",4781,231
"232",4786,232
"233",4787,233
"234",4789,234
"235",4792,235
"236",4800,236
"237",4802,237
"238",4804,238
"239",4863,239
"240",4868,240
"241",4870,241
"242",4879,242
"243",4909,243
"244",4910,244
"245",4929,245
"246",4969,246
"247",4981,247
"248",4995,248
"249",5038,249
"250",5043,250
"251",5061,251
"252",5065,252
"253",5068,253
"254",5074,254
"255",5078,255
"256",5081,256
"257",5093,257
"258",5146,258
"259",5148,259
