"","Inds_Exts",""
"1",3,1
"2",7,2
"3",21,3
"4",25,4
"5",29,5
"6",56,6
"7",123,7
"8",126,8
"9",134,9
"10",151,10
"11",157,11
"12",158,12
"13",159,13
"14",161,14
"15",180,15
"16",194,16
"17",219,17
"18",244,18
"19",267,19
"20",281,20
"21",285,21
"22",317,22
"23",326,23
"24",399,24
"25",402,25
"26",403,26
"27",411,27
"28",415,28
"29",418,29
"30",484,30
"31",512,31
"32",532,32
"33",534,33
"34",540,34
"35",571,35
"36",600,36
"37",634,37
"38",661,38
"39",691,39
"40",692,40
"41",693,41
"42",694,42
"43",699,43
"44",703,44
"45",708,45
"46",764,46
"47",773,47
"48",796,48
"49",824,49
"50",921,50
"51",957,51
"52",958,52
"53",972,53
"54",982,54
"55",1066,55
"56",1082,56
"57",1086,57
"58",1102,58
"59",1113,59
"60",1144,60
"61",1149,61
"62",1176,62
"63",1181,63
"64",1232,64
"65",1234,65
"66",1249,66
"67",1251,67
"68",1255,68
"69",1256,69
"70",1257,70
"71",1279,71
"72",1285,72
"73",1312,73
"74",1350,74
"75",1407,75
"76",1458,76
"77",1493,77
"78",1495,78
"79",1497,79
"80",1519,80
"81",1520,81
"82",1523,82
"83",1525,83
"84",1526,84
"85",1528,85
"86",1529,86
"87",1533,87
"88",1637,88
"89",1642,89
"90",1644,90
"91",1646,91
"92",1647,92
"93",1684,93
"94",1740,94
"95",1745,95
"96",1746,96
"97",1770,97
"98",1837,98
"99",1882,99
"100",1921,100
"101",1981,101
"102",1995,102
"103",2041,103
"104",2049,104
"105",2053,105
"106",2057,106
"107",2059,107
"108",2073,108
"109",2084,109
"110",2143,110
"111",2148,111
"112",2173,112
"113",2185,113
"114",2186,114
"115",2200,115
"116",2201,116
"117",2202,117
"118",2204,118
"119",2205,119
"120",2214,120
"121",2216,121
"122",2218,122
"123",2220,123
"124",2222,124
"125",2227,125
"126",2229,126
"127",2250,127
"128",2331,128
"129",2360,129
"130",2420,130
"131",2434,131
"132",2443,132
"133",2484,133
"134",2489,134
"135",2496,135
"136",2543,136
"137",2544,137
"138",2546,138
"139",2564,139
"140",2594,140
"141",2599,141
"142",2601,142
"143",2693,143
"144",2727,144
"145",2731,145
"146",2733,146
"147",2736,147
"148",2739,148
"149",2742,149
"150",2811,150
"151",2825,151
"152",2832,152
"153",2856,153
"154",2858,154
"155",2866,155
"156",2897,156
"157",2901,157
"158",2955,158
"159",2967,159
"160",2972,160
"161",2976,161
"162",2982,162
"163",2985,163
"164",2993,164
"165",3008,165
"166",3009,166
"167",3014,167
"168",3033,168
"169",3090,169
"170",3145,170
"171",3167,171
"172",3181,172
"173",3194,173
"174",3230,174
"175",3238,175
"176",3250,176
"177",3262,177
"178",3275,178
"179",3278,179
"180",3282,180
"181",3319,181
"182",3415,182
"183",3425,183
"184",3434,184
"185",3527,185
"186",3550,186
"187",3566,187
"188",3672,188
"189",3722,189
"190",3731,190
"191",3801,191
"192",3803,192
"193",3810,193
"194",3812,194
"195",3827,195
"196",3839,196
"197",3854,197
"198",3862,198
"199",3866,199
"200",3869,200
"201",3950,201
"202",3971,202
"203",3984,203
"204",3987,204
"205",4005,205
"206",4009,206
"207",4016,207
"208",4026,208
"209",4084,209
"210",4194,210
"211",4200,211
"212",4206,212
"213",4209,213
"214",4210,214
"215",4239,215
"216",4265,216
"217",4269,217
"218",4309,218
"219",4323,219
"220",4336,220
"221",4339,221
"222",4360,222
"223",4374,223
"224",4483,224
"225",4492,225
"226",4494,226
"227",4507,227
"228",4596,228
"229",4629,229
"230",4648,230
"231",4658,231
"232",4729,232
"233",4738,233
"234",4745,234
"235",4763,235
"236",4765,236
"237",4786,237
"238",4787,238
"239",4789,239
"240",4792,240
"241",4802,241
"242",4804,242
"243",4863,243
"244",4866,244
"245",4868,245
"246",4910,246
"247",4929,247
"248",5001,248
"249",5016,249
"250",5038,250
"251",5039,251
"252",5043,252
"253",5061,253
"254",5062,254
"255",5063,255
"256",5065,256
"257",5077,257
"258",5081,258
"259",5093,259
